id,text,sentiment,topic,timestamp,user_id,retweets,likes,followers,cleaned_text,no_stopwords,lemmatized_text,original_length,cleaned_length,final_length,word_count
tweet_1,awesome Google! lol,positive,Google,2025-08-17 10:39:57,user_384,54,279,5706,awesome google! lol,awesome google ! lol,awesome google lol,19,19,18,3
tweet_2,Tesla Model 3 is a terrible quality #hate,negative,Tesla Model 3,2025-08-01 16:27:13,user_296,42,156,1266,tesla model 3 is a terrible quality hate,tesla model 3 terrible quality hate,tesla model terrible quality hate,41,40,33,5
tweet_3,Amazon is nothing special via @user...,neutral,Amazon,2025-08-08 18:24:28,user_448,47,322,8703,amazon is nothing special via ...,amazon nothing special ...,amazon nothing special,38,33,22,3
tweet_4,Climate Change is a not worth it #love,negative,Climate Change,2025-08-18 12:44:53,user_423,15,313,3617,climate change is a not worth it love,climate change not worth love,climate change not worth love,38,37,29,5
tweet_5,highly recommend Netflix! RT @user:,positive,Netflix,2025-08-27 19:59:57,user_410,0,143,8708,highly recommend netflix!,highly recommend netflix !,highly recommend netflix,35,25,24,3
tweet_6,fantastic experience ChatGPT! #love,positive,ChatGPT,2025-08-29 03:21:30,user_452,65,208,4739,fantastic experience chatgpt! love,fantastic experience chatgpt ! love,fantastic experience chatgpt love,35,34,33,4
tweet_7,highly recommend Tesla Model 3! 😢,positive,Tesla Model 3,2025-08-18 18:37:34,user_182,38,428,7352,highly recommend tesla model 3!,highly recommend tesla model 3 !,highly recommend tesla model,33,31,28,4
tweet_8,Netflix is a waste of money #hashtag,negative,Netflix,2025-08-24 17:07:48,user_110,15,92,9172,netflix is a waste of money hashtag,netflix waste money hashtag,netflix waste money hashtag,36,35,27,4
tweet_9,amazing product Amazon! 🔥,positive,Amazon,2025-08-15 17:19:24,user_490,65,434,6370,amazing product amazon!,amazing product amazon !,amazing product amazon,25,23,22,3
tweet_10,Olympics 2024 is ordinary 💯,neutral,Olympics 2024,2025-08-18 02:25:17,user_23,60,127,1091,olympics 2024 is ordinary,olympics 2024 ordinary,olympics ordinary,27,25,17,2
tweet_11,Microsoft is a horrible 💯,negative,Microsoft,2025-08-30 10:16:44,user_59,44,488,7507,microsoft is a horrible,microsoft horrible,microsoft horrible,25,23,18,2
