Order_ID,Date,Customer_ID,Product,Category,Quantity,Unit_Price,Total_Sales,Total_Cost,Profit,Region,Sales_Channel,Customer_Segment
ORD_552686,2023-08-27,CUST_4854,Sportswear,Sports,5,43.08,215.4,146.23,69.17,North,Mobile App,Budget
ORD_190181,2023-08-27,CUST_3540,Tablet,Electronics,2,328.43,656.86,412.86,244.0,Central,Mobile App,Regular
ORD_112123,2023-08-27,CUST_9497,Smartphone,Electronics,2,787.01,1574.02,966.0,608.02,South,Online,Premium
ORD_786393,2023-08-27,CUST_4389,Smartwatch,Electronics,2,403.7,807.4,637.9,169.5,Central,Mobile App,Regular
ORD_261315,2023-08-27,CUST_5737,Children Books,Books,6,21.95,131.7,95.01,36.69,North,Online,Regular
ORD_165555,2023-08-27,CUST_7397,Sportswear,Sports,5,51.71,258.55,160.71,97.84,Central,In-Store,Premium
ORD_414922,2023-08-27,CUST_1107,Tablet,Electronics,1,434.76,434.76,335.26,99.5,East,Online,Premium
ORD_791381,2023-08-27,CUST_7645,Biography,Books,1,20.21,20.21,15.38,4.83,East,In-Store,Regular
ORD_478742,2023-08-27,CUST_5140,Decor,Home & Garden,2,84.79,169.58,126.55,43.03,North,In-Store,Regular
ORD_260669,2023-08-27,CUST_6886,Comics,Books,1,13.54,13.54,10.29,3.25,East,Mobile App,Budget
ORD_948095,2023-08-28,CUST_6213,Bicycle,Sports,1,588.18,588.18,428.15,160.03,South,Mobile App,Premium
ORD_435169,2023-08-28,CUST_7941,Furniture,Home & Garden,1,354.79,354.79,279.14,75.65,West,In-Store,Budget
ORD_171921,2023-08-28,CUST_9606,Football,Sports,7,42.48,297.36,205.8,91.56,North,Online,Premium
ORD_728177,2023-08-28,CUST_1891,Sneakers,Clothing,1,102.59,102.59,74.5,28.09,West,Online,Regular
ORD_963495,2023-08-28,CUST_9135,Hoodie,Clothing,6,54.41,326.46,210.82,115.64,South,Online,Premium
ORD_758539,2023-08-28,CUST_4173,Children Books,Books,2,18.66,37.32,29.51,7.81,East,Mobile App,Regular
ORD_159223,2023-08-28,CUST_4219,Biography,Books,2,22.48,44.96,29.83,15.13,East,In-Store,Regular
ORD_995163,2023-08-28,CUST_9697,Camera,Electronics,1,561.56,561.56,446.05,115.51,South,In-Store,Budget
ORD_792044,2023-08-28,CUST_3800,Plants,Home & Garden,7,28.84,201.88,123.65,78.23,Central,Mobile App,Budget
ORD_294961,2023-08-28,CUST_6160,Gym Equipment,Sports,1,351.91,351.91,263.76,88.15,North,In-Store,Premium
ORD_940361,2023-08-28,CUST_1725,Hoodie,Clothing,5,53.21,266.05,178.45,87.6,South,Online,Premium
ORD_317713,2023-08-29,CUST_4405,Children Books,Books,5,14.51,72.55,49.55,23.0,East,In-Store,Budget
ORD_448670,2023-08-29,CUST_3421,Headphones,Electronics,2,142.3,284.6,219.58,65.02,South,Mobile App,Budget
ORD_179761,2023-08-29,CUST_2953,Biography,Books,2,21.16,42.32,27.57,14.75,West,In-Store,Regular
ORD_786694,2023-08-29,CUST_3778,Dress,Clothing,8,61.25,490.0,346.16,143.84,Central,Online,Budget
ORD_536999,2023-08-29,CUST_9954,Fiction,Books,5,24.18,120.9,93.54,27.36,Central,Online,Budget
ORD_453014,2023-08-29,CUST_9834,Laptop,Electronics,1,934.96,934.96,635.03,299.93,South,Online,Budget
ORD_882556,2023-08-29,CUST_1273,Jacket,Clothing,3,190.57,571.71,447.8,123.91,North,Mobile App,Premium
ORD_196754,2023-08-29,CUST_7087,Children Books,Books,4,15.39,61.56,42.71,18.85,North,Mobile App,Premium
ORD_880179,2023-08-29,CUST_9501,Children Books,Books,1,13.07,13.07,8.24,4.83,East,In-Store,Budget
ORD_579090,2023-08-29,CUST_4235,Hoodie,Clothing,3,49.41,148.23,105.96,42.27,East,In-Store,Premium
ORD_702865,2023-08-29,CUST_3667,Tennis Racket,Sports,4,69.53,278.12,209.36,68.76,South,In-Store,Premium
ORD_370840,2023-08-29,CUST_2627,Football,Sports,3,26.08,78.24,53.45,24.79,West,Online,Budget
ORD_944202,2023-08-30,CUST_5508,T-Shirt,Clothing,2,33.66,67.32,49.58,17.74,East,Online,Premium
ORD_224896,2023-08-30,CUST_5130,Football,Sports,2,39.1,78.2,47.28,30.92,North,In-Store,Premium
ORD_372185,2023-08-30,CUST_7891,Furniture,Home & Garden,2,392.07,784.14,549.77,234.37,West,Online,Regular
ORD_320390,2023-08-30,CUST_8845,Decor,Home & Garden,3,54.75,164.25,119.1,45.15,East,Mobile App,Budget
ORD_695772,2023-08-30,CUST_8639,Kitchen Appliances,Home & Garden,1,213.89,213.89,152.55,61.34,East,Mobile App,Premium
ORD_476353,2023-08-30,CUST_9770,Biography,Books,8,31.33,250.64,165.56,85.08,North,In-Store,Budget
ORD_389611,2023-08-31,CUST_4753,Fiction,Books,4,23.27,93.08,72.85,20.23,East,In-Store,Regular
ORD_533749,2023-08-31,CUST_9137,Tablet,Electronics,2,278.77,557.54,344.48,213.06,West,In-Store,Budget
ORD_727794,2023-08-31,CUST_5934,Sportswear,Sports,2,36.73,73.46,55.83,17.63,West,Mobile App,Premium
ORD_878121,2023-08-31,CUST_8104,Bedding,Home & Garden,2,114.56,229.12,161.79,67.33,East,Online,Premium
