id,text,sentiment,topic,timestamp,user_id,retweets,likes,followers
tweet_1,awesome Google! lol,positive,Google,2025-08-17 10:39:57,user_384,54,279,5706
tweet_2,Tesla Model 3 is a terrible quality #hate,negative,Tesla Model 3,2025-08-01 16:27:13,user_296,42,156,1266
tweet_3,Amazon is nothing special via @user...,neutral,Amazon,2025-08-08 18:24:28,user_448,47,322,8703
tweet_4,Climate Change is a not worth it #love,negative,Climate Change,2025-08-18 12:44:53,user_423,15,313,3617
tweet_5,highly recommend Netflix! RT @user:,positive,Netflix,2025-08-27 19:59:57,user_410,0,143,8708
tweet_6,fantastic experience ChatGPT! #love,positive,ChatGPT,2025-08-29 03:21:30,user_452,65,208,4739
tweet_7,highly recommend Tesla Model 3! 😢,positive,Tesla Model 3,2025-08-18 18:37:34,user_182,38,428,7352
tweet_8,Netflix is a waste of money #hashtag,negative,Netflix,2025-08-24 17:07:48,user_110,15,92,9172
tweet_9,amazing product Amazon! 🔥,positive,Amazon,2025-08-15 17:19:24,user_490,65,434,6370
tweet_10,Olympics 2024 is ordinary 💯,neutral,Olympics 2024,2025-08-18 02:25:17,user_23,60,127,1091
tweet_11,Microsoft is a horrible 💯,negative,Microsoft,2025-08-30 10:16:44,user_59,44,488,7507
tweet_12,Microsoft is acceptable check this out!,neutral,Microsoft,2025-08-06 03:25:16,user_49,38,270,4385
tweet_13,Apple is a disgusting 👎,negative,Apple,2025-08-27 04:41:46,user_75,93,468,8773
tweet_14,Netflix is a pathetic thoughts?,negative,Netflix,2025-08-11 02:14:03,user_430,55,354,2731
tweet_15,Google is moderate #hashtag,neutral,Google,2025-08-17 15:45:59,user_18,63,376,2986
tweet_16,Amazon is as expected #amazing,neutral,Amazon,2025-08-05 13:56:00,user_490,17,454,5896
tweet_17,brilliant Olympics 2024! 👍,positive,Olympics 2024,2025-08-22 23:54:13,user_124,97,456,1910
tweet_18,Tesla Model 3 is ordinary 🔥,neutral,Tesla Model 3,2025-08-22 19:49:26,user_18,46,218,9987
tweet_19,best ever iPhone 15! omg,positive,iPhone 15,2025-08-15 18:44:15,user_24,92,280,6281
tweet_20,Microsoft is not bad check this out!,neutral,Microsoft,2025-08-31 09:53:56,user_90,33,52,1812
tweet_21,ChatGPT is ordinary omg,neutral,ChatGPT,2025-08-09 10:47:58,user_488,30,350,8447
tweet_22,Climate Change is a disgusting 😍,negative,Climate Change,2025-08-19 08:22:32,user_15,26,90,562
tweet_23,ChatGPT is a complete failure omg,negative,ChatGPT,2025-08-11 19:05:14,user_127,51,434,6358
