id,text,sentiment,topic,timestamp,user_id,retweets,likes,followers,cleaned_text,no_stopwords,lemmatized_text,original_length,cleaned_length,final_length,word_count,textblob_polarity,textblob_subjectivity,textblob_sentiment,vader_compound,vader_positive,vader_negative,vader_neutral,vader_sentiment,ml_sentiment,ml_confidence,ensemble_sentiment
tweet_1,awesome Google! lol,positive,Google,2025-08-17 10:39:57,user_384,54,279,5706,awesome google! lol,awesome google ! lol,awesome google lol,19,19,18,3,0.9,0.85,positive,0.7845,0.873,0.0,0.127,positive,positive,0.8340290562654535,positive
tweet_2,Tesla Model 3 is a terrible quality #hate,negative,Tesla Model 3,2025-08-01 16:27:13,user_296,42,156,1266,tesla model 3 is a terrible quality hate,tesla model 3 terrible quality hate,tesla model terrible quality hate,41,40,33,5,-0.9,0.95,negative,-0.7783,0.0,0.694,0.306,negative,negative,0.8309913068775833,negative
tweet_3,Amazon is nothing special via @user...,neutral,Amazon,2025-08-08 18:24:28,user_448,47,322,8703,amazon is nothing special via ...,amazon nothing special ...,amazon nothing special,38,33,22,3,0.35714285714285715,0.5714285714285714,positive,-0.1426,0.343,0.455,0.202,negative,neutral,0.8375874005502281,neutral
tweet_4,Climate Change is a not worth it #love,negative,Climate Change,2025-08-18 12:44:53,user_423,15,313,3617,climate change is a not worth it love,climate change not worth love,climate change not worth love,38,37,29,5,0.175,0.35,positive,-0.6167,0.0,0.627,0.373,negative,negative,0.6219259465906095,negative
tweet_5,highly recommend Netflix! RT @user:,positive,Netflix,2025-08-27 19:59:57,user_410,0,143,8708,highly recommend netflix!,highly recommend netflix !,highly recommend netflix,35,25,24,3,0.16,0.54,positive,0.4201,0.583,0.0,0.417,positive,positive,0.9248015040490615,positive
tweet_6,fantastic experience ChatGPT! #love,positive,ChatGPT,2025-08-29 03:21:30,user_452,65,208,4739,fantastic experience chatgpt! love,fantastic experience chatgpt ! love,fantastic experience chatgpt love,35,34,33,4,0.45,0.75,positive,0.8316,0.796,0.0,0.204,positive,positive,0.9276255553758904,positive
tweet_7,highly recommend Tesla Model 3! 😢,positive,Tesla Model 3,2025-08-18 18:37:34,user_182,38,428,7352,highly recommend tesla model 3!,highly recommend tesla model 3 !,highly recommend tesla model,33,31,28,4,0.16,0.54,positive,0.4201,0.482,0.0,0.518,positive,positive,0.8853494665654252,positive
tweet_8,Netflix is a waste of money #hashtag,negative,Netflix,2025-08-24 17:07:48,user_110,15,92,9172,netflix is a waste of money hashtag,netflix waste money hashtag,netflix waste money hashtag,36,35,27,4,-0.2,0.0,negative,-0.4215,0.0,0.483,0.517,negative,negative,0.8060998437659977,negative
tweet_9,amazing product Amazon! 🔥,positive,Amazon,2025-08-15 17:19:24,user_490,65,434,6370,amazing product amazon!,amazing product amazon !,amazing product amazon,25,23,22,3,0.6000000000000001,0.9,positive,0.6705,0.846,0.0,0.154,positive,positive,0.9216919882183017,positive
tweet_10,Olympics 2024 is ordinary 💯,neutral,Olympics 2024,2025-08-18 02:25:17,user_23,60,127,1091,olympics 2024 is ordinary,olympics 2024 ordinary,olympics ordinary,27,25,17,2,-0.25,0.5,negative,0.0,0.0,0.0,1.0,neutral,neutral,0.8361504664446398,neutral
